Index,Title,Brand,Product Type,Confidence,Confidence Level
382,"EMOH Adjustable 48"" to 84"" Round Sash Rod in White (Set of 2) HSASHR-4884",EMOH,Unknown - Unable to Classify,5.0,Very Low
383,StyleWell 28 in. - 48 in. Adjustable Telescoping 5/8 in. Single Curtain Rod Kit in Oil Rubbed Bronze,StyleWell,Unknown - Unable to Classify,8.0,Very Low
384,"UNIKOO UKS04 66 to 72 in. W x 76 in. H Sliding Frameless Shower Door in Brushed Nickel, EnduroShield",UNIKOO,Unknown - Unable to Classify,3.0,Very Low
385,Rod Desyne 28 in. - 48 in. Double Curtain Rod in Satin Nickel with Finial 4742-285,Rod Desyne,Unknown - Unable to Classify,5.0,Very Low
386,Chicology Oxford Gray Cordless Room Darkening Vinyl Vertical Blind with 3.5 in. Slats 78 in. W x 84 ,Chicology,Unknown - Unable to Classify,5.0,Very Low
387,Gorilla 8 ft. Waterproof Patch and Seal Tape Clear 107261,Gorilla,Tape,45.0,Low
388,Link2Home 60 ft. 14/3 Extension Cord Storage Reel with 4 Grounded Outlets and Overload Circuit Break,Link2Home,Extension Cord,50.0,Medium
389,VELUX 22-1/2 in. x 22-1/2 in. Fixed Pan-Flashed Skylight with Tempered Low-E3 Glass QPF 2222 2005,VELUX,Skylight,40.0,Low
390,Search Results for 520214 at The Home Depot,,Unknown - Unable to Classify,25.0,Very Low
391,Saniflo SaniBest Pro 2-Piece 1.28gal Single Flush Elongated Toilet with 1hp Grinder Pump in White 01,Saniflo,Toilet,55.0,Medium
392,,,Unknown - Missing Data,0,No Data
393,Lifeproof Sterling Oak 6 MIL x 8.7 in. W x 48 in. L Click Lock Waterproof Luxury Vinyl Plank Floorin,Lifeproof,Unknown - Unable to Classify,0.0,Very Low
394,,,Unknown - Missing Data,0,No Data
395,HALO ALP 250-Watt Equivalent Integrated LED Grey Premium Area Light Field Selectable CCT 3000K/4000K,HALO,Unknown - Unable to Classify,13.0,Very Low
396,Saint-Gobain ADFORS 72 in. x 25 ft. Charcoal Fiberglass Pool and Patio Screen Roll FCS8513-M,Saint-Gobain ADFORS,Unknown - Unable to Classify,5.0,Very Low
397,BlueDEF 2.5 Gal. Diesel Exhaust Fluid (DEF) DEF002,BlueDEF,Unknown - Unable to Classify,25.0,Very Low
398,IPEX 6 in. X 24 in. ABS SDR-35 Riser Pipe 9015,IPEX,Unknown - Unable to Classify,25.0,Very Low
399,Home Decorators Collection 37 in. W x 22 in. D Engineered Solid Surface White Rectangular Single Sin,Home Decorators Collection,Unknown - Unable to Classify,25.0,Very Low
400,,,Unknown - Missing Data,0,No Data
401,Milwaukee M12 12V Lithium-Ion Cordless Drill Driver/Impact Driver Combo Kit with Two 1.5Ah Batteries,Milwaukee,Drill,43.0,Low
402,"Gardenised 24-Pack Pot Feet-Rubber Risers for Planters and Pots Prevents Stains, Rot, and Moisture D",Gardenised,Unknown - Unable to Classify,15.0,Very Low
403,DEWALT MAXFIT 1 in. #20 Torx Bit (2-Piece) DWA1TX20MF2,DEWALT,Unknown - Unable to Classify,25.0,Very Low
404,"3M OV/AG P100 Pro Multi-Purpose Reusable Respirator with Quick Latch, Size Medium 65023QLHA1-C",3M,Unknown - Unable to Classify,5.0,Very Low
405,DEWALT 6 in. MAXFIT T25 Bit Tip DWA6TX25-1,DEWALT,Unknown - Unable to Classify,28.0,Very Low
406,Milwaukee SHOCKWAVE Impact Duty Alloy Steel Hex Screw Driver Bit Set (9-Piece) 48-32-4616,Milwaukee,Drill Bit,40.0,Low
407,SANOXY 25 ft. DVI-D Dual Link Digital Video Male to Male Cable 28AWG SNX-CBL-LDR-DV110-G125,SANOXY,Cable,40.0,Low
408,,,Unknown - Missing Data,0,No Data
409,HDX Disposable Earplugs (50-Pack) REP501 50PK,HDX,Unknown - Unable to Classify,25.0,Very Low
410,,,Unknown - Missing Data,0,No Data
411,,,Unknown - Missing Data,0,No Data
412,Husky 72 in. W x 24 in. D Adjustable Height Black Workbench for Ready to Assemble Steel Garage Stora,Husky,Unknown - Unable to Classify,5.0,Very Low
413,,,Unknown - Missing Data,0,No Data
414,Husky 72 in. W x 24 in. D Adjustable Height Black Workbench for Ready to Assemble Steel Garage Stora,Husky,Unknown - Unable to Classify,5.0,Very Low
415,VELCRO 7/8 in. Sticky Back Squares (12-Pack) 90072,VELCRO,Unknown - Unable to Classify,8.0,Very Low
416,Vigoro 4 ft. x 100 ft. Heavy Duty Matrix Grid Weed Control Landscape Fabric VPNM410085,Vigoro,Unknown - Unable to Classify,5.0,Very Low
417,Milwaukee High Performance Hard Shell Knee Pads with PACKOUT Tool Bag 48-73-6030-48-22-8321,Milwaukee,Unknown - Unable to Classify,8.0,Very Low
418,Milwaukee Red Disposable Earplugs (10-Pack) with 32 dB Noise Reduction Rating 48-73-3001,Milwaukee,Unknown - Unable to Classify,5.0,Very Low
419,Everbilt 2-Pack 2-1/2 in. Matte Black Non-Removable Pin Narrow Surface Mount Door Hinge 28927,Everbilt,Door Hinge,50.0,Medium
420,Stanley 10 in. Surform Regular-Cut Flat Mill File 21-293,Stanley,Saw Blade,30.0,Low
421,Stanley 6 in. Pocket Surform Plane 21-399,Stanley,Unknown - Unable to Classify,25.0,Very Low
422,Commercial Electric Pocket Size Auto Digital Ranging Multimeter MMB-8332R,Commercial Electric,Unknown - Unable to Classify,5.0,Very Low
423,Watts 1 in. Bronze Double Check Valve Backflow Preventer Assembly Quarter Turn Shutoff With Single T,Watts,Unknown - Unable to Classify,5.0,Very Low
424,Everbilt (84-Pack) Spring Assortment Kit 24470,Everbilt,Spring,55.0,Medium
